id,name,email,tax_id,address,country,zip,load_date
FLATFILE-0031,Elizabeth Gonzalez,elizabeth.gonzalez@mail.com,???,323 Main St,IN,21542,2026-04-23
FLATFILE-0032,James M.,james.martin@acme.com,TAX-30758,15 Main St,UK,82199,2026-07-12
FLATFILE-0033,Elizabeth Jackson,elizabeth.jackson@mail.com,TAX-96499,458 Main St,IN,29476,2026-04-17
FLATFILE-0034,John Wilson,john.wilson@mail.com,TAX-30232,801 Main St,US,71537,2026-04-20
FLATFILE-0035,joseph garcia,not-an-email,TAX-49251,333 Main St,US,16028,2026-07-15
FLATFILE-0036,Jennifer Garcia,jennifer.garcia@acme.com,TAX-89887,700 Main St,IN,91226,2026-03-28
FLATFILE-0037,Elizabeth Wilson,elizabeth.wilson@mail.com,TAX-42780,204 Main St,IN,49599,2026-07-21
FLATFILE-0039,W. Brown,william.brown@example.com,TAX-19869,881 Main St,CA,39571,2026-05-22
FLATFILE-0040,,patricia.davis@mail.com,TAX-27781,380 Main St,IN,69459,2026-07-20
FLATFILE-0043,Thomas Jackson,thomas.jackson@acme.com,???,969 Main St,DE,39038,2026-04-23
FLATFILE-0045,michael wilson,michael.wilson@example.com,TAX-39949,848 Main St,IN,54424,2026-05-19
FLATFILE-0046,Barbara  Brown,barbara.brown@mail.com,TAX-76507,673 Main St,CA,30280,2026-03-19
FLATFILE-0048,Patricia Lopez,not-an-email,TAX-24534,695 Main St,UK,98895,2026-07-14
FLATFILE-0049,Susan J.,susan.jackson@example.com,???,118 Main St,IN,47947,2026-05-14
FLATFILE-0050,Robert Garcia,robert.garcia@mail.com,TAX-74764,779 Main St,IN,83889,2026-05-11
FLATFILE-0052,Robert Hernandez,not-an-email,TAX-83133,259 Main St,IN,47243,2026-06-22
FLATFILE-0053,Thomas W.,thomas.williams@mail.com,TAX-97878,371 Main St,IN,76648,2026-02-14
FLATFILE-0054,ROBERT MARTINEZ,robert.martinez@acme.com,TAX-76543,39 Main St,DE,79013,2026-03-24
FLATFILE-0055,Barbara Jackson,not-an-email,TAX-70513,515 Main St,UK,60052,2026-03-10
FLATFILE-0056,Linda Smith,linda.smith@example.com,TAX-22987,141 Main St,UK,29142,2026-04-24
FLATFILE-0058,Elizabeth Wilson,not-an-email,TAX-90584,585 Main St,UK,41531,2026-06-10
FLATFILE-0059,Joseph Thomas,joseph.thomas@mail.com,TAX-33891,734 Main St,CA,18270,2026-04-21
FLATFILE-0060,THOMAS RODRIGUEZ,thomas.rodriguez@acme.com,TAX-65640,617 Main St,US,66440,2026-04-15
FLATFILE-0062,Joseph W.,joseph.williams@mail.com,TAX-28047,408 Main St,DE,58096,2026-03-18
FLATFILE-0064,Robert  Martinez,robert.martinez@example.com,TAX-72739,788 Main St,DE,63843,2026-06-27
FLATFILE-0066,Michael Jackson,michael.jackson@example.com,TAX-91016,911 Main St,US,75278,2026-01-15
FLATFILE-0067,Sarah Brown,sarah.brown@example.com,???,274 Main St,IN,26059,2026-05-24
FLATFILE-0068,E. Moore,elizabeth.moore@acme.com,TAX-24089,904 Main St,IN,27555,2026-01-22
FLATFILE-0070,William Martin,william.martin@example.com,TAX-31299,758 Main St,IN,90805,2026-06-13
FLATFILE-0071,Linda Johnson,linda.johnson@mail.com,TAX-72973,645 Main St,CA,78712,2026-04-11
FLATFILE-0072,Karen Thomas,karen.thomas@acme.com,TAX-42311,306 Main St,UK,83149,2026-05-18
FLATFILE-0073,John  Martinez,john.martinez@acme.com,TAX-47700,947 Main St,US,55398,2026-01-28
FLATFILE-0075,James Martinez,james.martinez@mail.com,???,292 Main St,US,53914,2026-04-18
FLATFILE-0076,William Martinez,william.martinez@mail.com,TAX-85088,670 Main St,US,44282,2026-03-23
FLATFILE-0078,Thomas Miller,thomas.miller@mail.com,TAX-80341,336 Main St,CA,31566,2026-01-22
FLATFILE-0079,Elizabeth Wilson,elizabeth.wilson@acme.com,TAX-27750,913 Main St,IN,59081,2026-04-27
FLATFILE-0081,JOSEPH DAVIS,joseph.davis@mail.com,TAX-38477,516 Main St,US,28367,2026-06-15
FLATFILE-0082,Thomas Hernandez,thomas.hernandez@mail.com,TAX-64568,308 Main St,IN,29558,2026-03-16
FLATFILE-0084,Karen Miller,karen.miller@example.com,???,795 Main St,DE,52154,2026-05-28
FLATFILE-0085,Susan Martinez,susan.martinez@acme.com,TAX-35715,389 Main St,UK,40149,2026-05-25
FLATFILE-0087,James  Miller,james.miller@mail.com,TAX-69770,633 Main St,UK,17923,2026-01-21
FLATFILE-0091,James Rodriguez,james.rodriguez@example.com,???,567 Main St,CA,56636,2026-05-12
FLATFILE-0092,KAREN MARTIN,karen.martin@example.com,TAX-60493,424 Main St,US,48253,2026-03-17
FLATFILE-0098,Joseph  Miller,joseph.miller@mail.com,TAX-73298,100 Main St,UK,72411,2026-01-16
FLATFILE-0099,M. Rodriguez,michael.rodriguez@mail.com,TAX-18200,819 Main St,DE,23336,2026-06-20
FLATFILE-0100,K. Garcia,karen.garcia@mail.com,TAX-48986,87 Main St,DE,87354,2026-04-14
FLATFILE-0101,Sarah Garcia,not-an-email,???,323 Main St,CA,34523,2026-07-21
FLATFILE-0103,LINDA MILLER,linda.miller@mail.com,TAX-87060,648 Main St,UK,89988,2026-06-13
FLATFILE-0105,Charles Smith,not-an-email,TAX-22208,681 Main St,IN,93209,2026-06-11
FLATFILE-0106,Susan Miller,susan.miller@mail.com,TAX-27290,896 Main St,UK,30837,2026-01-10
FLATFILE-0107,William  Brown,not-an-email,TAX-27324,235 Main St,IN,19283,2026-06-16
FLATFILE-0108,William Jones,not-an-email,TAX-46302,567 Main St,US,42527,2026-05-10
FLATFILE-0110,Susan  Wilson,susan.wilson@mail.com,TAX-62727,550 Main St,US,93956,2026-03-22
FLATFILE-0111,,linda.johnson@acme.com,TAX-21300,465 Main St,IN,25202,2026-02-10
FLATFILE-0112,Jennifer Thomas,jennifer.thomas@example.com,TAX-78551,171 Main St,DE,43980,2026-04-24
FLATFILE-0114,S. Wilson,sarah.wilson@acme.com,TAX-52179,938 Main St,CA,64559,2026-04-12
FLATFILE-0120,John Miller,john.miller@example.com,TAX-58790,601 Main St,US,86326,2026-02-18
FLATFILE-0121,David Anderson,david.anderson@acme.com,???,632 Main St,DE,91156,2026-02-23
FLATFILE-0123,Charles Gonzalez,charles.gonzalez@example.com,TAX-32768,607 Main St,CA,41005,2026-02-25
FLATFILE-0124,JENNIFER HERNANDEZ,jennifer.hernandez@acme.com,TAX-12872,722 Main St,CA,86888,2026-04-25
FLATFILE-0126,Charles Brown,charles.brown@example.com,TAX-28434,244 Main St,UK,20198,2026-01-18
FLATFILE-0128,KAREN MARTIN,not-an-email,???,169 Main St,IN,95673,2026-06-25
FLATFILE-0129,E. Gonzalez,elizabeth.gonzalez@example.com,TAX-74106,658 Main St,UK,21945,2026-05-25
FLATFILE-0130,thomas jackson,thomas.jackson@mail.com,TAX-84905,124 Main St,DE,29326,2026-07-10
FLATFILE-0131,John Jackson,john.jackson@mail.com,TAX-86372,577 Main St,US,23845,2026-06-25
FLATFILE-0133,linda jones,not-an-email,TAX-68079,747 Main St,UK,45313,2026-03-24
FLATFILE-0134,Thomas Gonzalez,not-an-email,TAX-26236,382 Main St,US,41711,2026-02-18
FLATFILE-0135,Karen Martinez,karen.martinez@mail.com,TAX-94245,917 Main St,UK,65549,2026-01-10
FLATFILE-0136,William Jones,william.jones@mail.com,TAX-13336,266 Main St,IN,48745,2026-04-20
FLATFILE-0138,Susan J.,susan.johnson@acme.com,TAX-28004,420 Main St,CA,54914,2026-07-26
FLATFILE-0139,,michael.smith@mail.com,???,711 Main St,CA,39657,2026-03-24
FLATFILE-0141,Mary Brown,mary.brown@example.com,TAX-68237,561 Main St,IN,26199,2026-03-13
FLATFILE-0142,M. Lopez,michael.lopez@mail.com,???,41 Main St,UK,31020,2026-03-17
FLATFILE-0143,Patricia Johnson,patricia.johnson@acme.com,TAX-28139,367 Main St,CA,53078,2026-03-22
FLATFILE-0144,John Thomas,not-an-email,TAX-24802,48 Main St,IN,67761,2026-06-28
FLATFILE-0146,Sarah Martin,sarah.martin@acme.com,???,870 Main St,CA,76265,2026-06-10
FLATFILE-0148,Joseph Brown,not-an-email,TAX-96364,350 Main St,CA,10287,2026-06-23
FLATFILE-0149,Patricia A.,not-an-email,TAX-96305,138 Main St,DE,76086,2026-03-26
FLATFILE-0150,Elizabeth Moore,elizabeth.moore@example.com,TAX-82559,215 Main St,CA,36330,2026-06-20
FLATFILE-0153,L. Lopez,linda.lopez@mail.com,TAX-81645,795 Main St,DE,35751,2026-04-11
FLATFILE-0154,William A.,william.anderson@mail.com,TAX-30290,951 Main St,US,30146,2026-05-27
FLATFILE-0156,M. Hernandez,mary.hernandez@example.com,TAX-24860,554 Main St,IN,43631,2026-05-27
FLATFILE-0158,Robert Jackson,robert.jackson@acme.com,???,462 Main St,IN,60860,2026-07-27
FLATFILE-0160,Patricia Garcia,patricia.garcia@mail.com,TAX-84356,473 Main St,US,81939,2026-03-21
FLATFILE-0161,John Davis,john.davis@acme.com,TAX-47373,922 Main St,DE,19149,2026-05-28
FLATFILE-0162,Susan  Rodriguez,not-an-email,TAX-27603,474 Main St,UK,72908,2026-05-16
FLATFILE-0163,Elizabeth Jones,elizabeth.jones@example.com,TAX-75683,407 Main St,DE,21869,2026-02-25
FLATFILE-0164,Linda Johnson,linda.johnson@mail.com,TAX-37102,398 Main St,DE,57349,2026-03-21
FLATFILE-0166,James Davis,james.davis@acme.com,TAX-26762,165 Main St,DE,87640,2026-01-16
FLATFILE-0167,J. Martin,joseph.martin@example.com,TAX-73133,851 Main St,CA,38752,2026-04-14
FLATFILE-0168,James Wilson,james.wilson@mail.com,TAX-65139,715 Main St,UK,15693,2026-05-26
FLATFILE-0169,Patricia Jones,patricia.jones@example.com,TAX-95403,268 Main St,DE,43244,2026-03-27
FLATFILE-0170,Jennifer Gonzalez,jennifer.gonzalez@mail.com,TAX-10693,483 Main St,US,29048,2026-02-12
FLATFILE-0171,DAVID GONZALEZ,david.gonzalez@example.com,TAX-97773,601 Main St,IN,63143,2026-04-28
FLATFILE-0172,J. Rodriguez,james.rodriguez@acme.com,TAX-63363,573 Main St,DE,23954,2026-07-28
FLATFILE-0173,David Anderson,david.anderson@example.com,TAX-83815,776 Main St,IN,41886,2026-05-27
FLATFILE-0174,Robert M.,robert.moore@acme.com,TAX-72463,224 Main St,UK,56338,2026-01-12
FLATFILE-0176,William Lopez,william.lopez@mail.com,TAX-44039,270 Main St,CA,81901,2026-04-21
FLATFILE-0178,mary gonzalez,not-an-email,TAX-31409,834 Main St,US,38241,2026-02-28
FLATFILE-0179,Thomas Thomas,thomas.thomas@mail.com,???,629 Main St,US,59947,2026-03-20
FLATFILE-0182,Robert Gonzalez,robert.gonzalez@example.com,TAX-40062,454 Main St,CA,47247,2026-02-27
FLATFILE-0183,Jennifer Jackson,jennifer.jackson@mail.com,TAX-69840,537 Main St,DE,67013,2026-03-10
FLATFILE-0184,M. Wilson,michael.wilson@mail.com,???,168 Main St,IN,42754,2026-03-18
FLATFILE-0186,William Williams,william.williams@acme.com,???,74 Main St,UK,61435,2026-03-16
FLATFILE-0187,Barbara Johnson,barbara.johnson@mail.com,TAX-38545,649 Main St,US,40928,2026-05-25
FLATFILE-0188,Sarah Lopez,sarah.lopez@example.com,TAX-35292,367 Main St,US,59514,2026-02-28
FLATFILE-0189,Jennifer Williams,jennifer.williams@mail.com,TAX-30319,840 Main St,IN,48754,2026-05-21
FLATFILE-0191,James Miller,james.miller@mail.com,TAX-74409,821 Main St,US,71349,2026-06-11
FLATFILE-0193,Barbara Anderson,barbara.anderson@mail.com,TAX-97194,171 Main St,IN,23644,2026-04-20
FLATFILE-0194,Karen Davis,not-an-email,???,785 Main St,CA,59160,2026-01-26
FLATFILE-0196,jessica jackson,jessica.jackson@acme.com,TAX-88018,749 Main St,UK,14898,2026-01-17
FLATFILE-0197,susan martinez,susan.martinez@example.com,TAX-29400,85 Main St,CA,54062,2026-06-26
FLATFILE-0198,Elizabeth  Garcia,elizabeth.garcia@example.com,TAX-90769,150 Main St,IN,91681,2026-06-14
